Name,Original_Language,In_Production,Vote_Average,Popularity
Tyler Perry's Zatima,en,true,10.0,9.992
Delirium,en,true,10.0,6.278
Dog's Most Wanted,en,true,10.0,0.947
The Reaping,it,true,10.0,1.54
LOL: Last One Laughing Colombia,es,true,10.0,45.015
Dateline on ID,en,true,10.0,1.524
Steel Buddies,de,true,10.0,28.232
Teen Choice Awards,en,true,10.0,0.6
Ghost Hunters: TAPS Returns,en,true,10.0,2.148
Scooby Doo! Mystery Cases,en,true,10.0,2.81
Sweet Home Sextuplets,en,true,10.0,1.621
The Wonderland Murders,en,true,10.0,2.03
Young MacGyver,en,true,10.0,7.186
The Heights,en,true,10.0,18.041
港時間,ja,true,10.0,0.6
Art Attack: Challenge Mode,es,true,10.0,8.191
My Crazy Ex,en,true,10.0,6.7
90 Day Fiancé: Love in Paradise,en,true,10.0,3.534
Hitman's Curse,ru,true,10.0,3.037
Bodyguards,ru,true,10.0,21.668
バカリズムの大人のたしなみズム,ja,true,10.0,1.071
Moonshiners: Master Distiller,en,true,10.0,3.268
Min sanning,sv,true,10.0,3.108
Billboard Music Awards,en,true,10.0,60.092
Сеструха,ru,true,10.0,1.4
T.I. & Tiny: Friends & Family Hustle,en,true,10.0,1.4
Say Yes to the Dress: Bridesmaids,en,true,10.0,0.6
Talk,ru,true,10.0,1.908
Esaret,tr,true,10.0,120.497
Pathways of Japan,ja,true,10.0,0.6
Act Your Age,en,true,10.0,11.126
The Life Of A Creator,en,true,10.0,1.881
Team Dronix,fr,true,10.0,2.58
Rest Home,pt,true,10.0,0.6
一志相伝～受け継がれる職人の心～,ja,true,10.0,0.718
Kyoto Romance: An Eternal Story,ja,true,10.0,0.6
Ghost Finders,en,true,10.0,0.6
Wanna Have A Good Time,hi,true,10.0,4.852
Weekend Gokuraku Travellers,ja,true,10.0,3.196
Asia Express,ro,true,10.0,10.123
Psychedelica,en,true,10.0,2.198
Love & Marriage: DC,en,true,10.0,1.4
These Woods Are Haunted,en,true,10.0,1.897
Marriage Cuisine,zh,true,10.0,1.698
Колотушка,ru,true,10.0,0.811
Murder Comes Home,en,true,10.0,0.925
Fazendas Históricas,pt,true,10.0,0.84
Пять минут тишины,ru,true,10.0,1.991
Brat Loves Judy,en,true,10.0,1.455
Tetya Marta,ru,true,10.0,2.468
