Name,Original_Language,Popularity,Vote_Average
Tagesschau,de,3049.228,7.5
Alliance,zh,2071.972,0.0
Binnelanders,af,1977.475,5.5
Tozluyaka,tr,1968.201,5.7
Fuzuê,pt,1666.554,6.8
Iyilik,tr,1125.548,7.0
Ahsoka,en,954.747,8.048
Lisa,nl,872.901,6.6
2024,ar,841.894,0.0
STAT,fr,833.482,5.8
Strawberry,ar,822.91,0.0
NCIS,en,754.614,7.631
Suits,en,745.23,8.208
Farma,sk,715.12,4.9
روح,ar,684.074,0.0
Doctors,en,666.753,4.8
Emmerdale,en,565.52,4.012
Hollyoaks,en,559.35,5.356
EastEnders,en,539.491,3.901
Brothers,tl,456.394,6.375
Jeopardy!,en,445.503,6.8
Yellowstone,en,442.49,8.2
Supernatural,en,439.934,8.304
Imlie,hi,437.356,7.475
反击罗曼史,vi,426.947,0.0
S.W.A.T.,en,420.779,8.122
Lucifer,en,416.668,8.486
Dragnet,en,400.53,6.571
Bakugan,en,378.031,5.7
Scoop,cn,373.832,6.462
M*A*S*H,en,370.645,7.933
Ridiculousness,en,327.691,7.1
Cops,en,324.345,6.7
Bones,en,304.742,8.264
Vikings,en,294.196,8.086
Titlie,hi,286.851,7.835
Bleach,ja,284.738,8.409
Backdoor,pt,283.749,7.026
Loki,en,276.759,8.2
Shameless,en,271.993,8.2
Overflow,ja,262.133,7.5
Mastermind,en,256.742,5.3
MacGyver,en,255.486,7.745
冰上火花,cn,249.733,0.0
Invasion,en,246.379,7.29
Smallville,en,243.557,8.232
House,en,239.575,8.595
9/1/2001,en,239.165,8.224
Monster,ja,237.303,8.577
Dexter,en,227.846,8.19
